Warszawa                21°02'E        52°12'N
Kraków                  19°57'E        50°03'N
Łódź                    19°28'E        51°47'N
Wrocław                 17°02'E        51°07'N
Poznań                  16°55'E        52°25'N
Gdańsk                  18°38'E        54°22'N
Szczecin                14°34'E        53°26'N
Bydgoszcz               18°00'E        53°07'N
Lublin                  22°34'E        51°14'N
Białystok               23°10'E        53°08'N
Katowice                19°00'E        50°15'N
Gdynia                  18°32'E        54°32'N
Częstochowa             19°07'E        50°48'N
Radom                   21°10'E        51°24'N
Sosnowiec               19°08'E        50°17'N
Toruń                   18°37'E        53°02'N
Kielce                  20°37'E        50°53'N
Rzeszów                 22°01'E        50°03'N
Gliwice                 18°40'E        50°17'N
Zabrze                  18°47'E        50°18'N
Olsztyn                 20°30'E        53°47'N
Bielsko-Biała           19°04'E        49°50'N
Bytom                   18°54'E        50°23'N
Zielona_Góra            15°30'E        51°56'N
Rybnik                  18°33'E        50°05'N
Ruda_Śląska             18°52'E        50°16'N
Opole                   17°56'E        50°40'N
Tychy                   18°59'E        50°08'N
Gorzów_Wielkopolski     15°14'E        52°44'N
Dąbrowa_Górnicza        19°16'E        50°19'N
